index,iter,time,objective
0,0,1.0647291780000088,-47329.51320164294
1,1,4.239725136999972,-47287.85838247095
2,2,4.803073241999955,-47176.04038371228
3,3,5.424826176999952,-47051.36293232547
4,4,6.111301159999916,-46939.95176996583
5,5,6.660433904999984,-46426.252467637154
6,6,7.207850003,-46613.620388944415
7,7,7.757816376999952,-46238.33320364206
8,8,8.423096476999927,-46040.12692499472
9,9,8.957862803999916,-45729.84855444148
10,10,9.555482146999916,-45718.61175665862
11,11,10.140044896999957,-45615.76124700026
12,12,10.690497219000012,-45340.81708312029
13,13,11.326158492999966,-45060.485398502555
14,14,11.864761026999913,-44912.346578961726
15,15,12.524680776999913,-45189.14061796871
16,16,13.069934302999988,-44897.93013609378
17,17,13.769761764999945,-44753.436417669305
18,18,14.31587375499995,-44837.045868925044
19,19,14.977024013999966,-44533.839921999235
20,20,15.520085123999976,-44686.65208159421
21,21,16.051427446999938,-44346.98211467048
22,22,16.593679239999968,-44570.07280730893
23,23,17.191542008999967,-44359.19454259465
24,24,17.940537133999985,-44467.750910707444
25,25,18.56726572799997,-44179.11543415178
26,26,19.124426588999924,-44338.91383755208
27,27,19.67424563899997,-44294.767864567526
28,28,20.26588291799999,-43948.4727971609
29,29,20.931028312999988,-44378.91015055017
30,30,21.471837138999952,-43994.97736744365
31,31,22.012732071999928,-43880.94280803587
32,32,22.552699887999914,-44120.81486243882
33,33,23.178285124999938,-43987.570317594575
34,34,23.70910047199996,-43817.9138430978
35,35,24.24629311099998,-43902.519179704526
36,36,24.873746614999952,-43755.305190868465
37,37,25.447646749999958,-43854.8350307213
38,38,26.001170866,-44037.57229295625
39,39,26.53971416199999,-43921.5080059763
40,40,27.072616662999966,-43820.39646530851
41,41,27.713219174999978,-43508.76919737735
42,42,28.24863303399994,-43636.63832406122
43,43,28.793947927,-43798.004312043806
44,44,29.442349656999927,-43781.81616690533
45,45,29.971808778999954,-43487.82888654679
46,46,30.508024004000006,-43824.68419330057
47,47,31.04528299899993,-43541.51911640397
48,48,32.56762923799991,-43746.539965033044
49,49,33.22821724399994,-43997.282514586055
50,50,33.765937683,-43751.240895851115
51,51,34.31092726399994,-43645.03937893038
52,52,34.85813375499996,-43769.525726424436
53,53,35.448319824,-43848.5743602124
54,54,36.08394619299995,-43762.43024755602
55,55,36.64226243499992,-43840.83058136635
56,56,37.199230372999914,-43534.54199203439
57,57,37.75077947800001,-43607.736331622094
58,58,38.42947212099994,-43798.76103398785
59,59,38.97671045699995,-43473.029905173265
60,60,39.50726913299994,-43973.38169632584
61,61,40.048649539,-43450.37758252743
62,62,40.696956659999906,-43735.88256509796
63,63,41.239595250999905,-43907.970246445344
64,64,41.912950944999935,-44101.124128358395
65,65,42.46608795299998,-44109.706461916096
66,66,43.09436528799997,-43674.8168664432
67,67,43.63632152999996,-43549.53181700061
68,68,44.1721066859999,-43591.68350363418
69,69,44.79645160299994,-43649.32688683023
70,70,45.337040124999945,-43549.74956466798
71,71,45.87813510499999,-43747.37160239069
72,72,46.478177456999894,-43946.9385737627
73,73,47.01322877599998,-43541.14487609886
74,74,47.646515660999924,-44022.392818456705
75,75,48.669553679,-43466.47821474056
76,76,49.21618320799991,-43680.67119411783
77,77,49.776818359999915,-43600.683240721344
78,78,50.42961844399991,-43641.07181248712
79,79,50.976962238999896,-43873.63598955222
80,80,51.525201538999916,-43694.796321299546
81,81,52.06596756199992,-43960.86974192778
82,82,52.60834214199998,-43740.1999114266
83,83,53.305632581999994,-43479.26225282127
84,84,54.05500711999996,-43869.67369549499
85,85,54.670806087999956,-43667.290819413036
86,86,55.29308153199998,-43876.347944782094
87,87,55.91093782499991,-43893.72576477691
88,88,56.61099962299993,-43648.296527255625
89,89,57.33742134799994,-43957.90086769853
90,90,57.98530959799991,-43803.122832309884
91,91,58.66476445499994,-43629.526321225916
92,92,59.29657974099997,-43621.347371055264
93,93,60.034028712,-43997.434297354885
94,94,60.70564626299997,-43581.68787486158
95,95,61.322377136999975,-43460.919571829996
96,96,61.947106761,-43931.97591652502
97,97,62.57268201699993,-43459.57272850599
98,98,63.34883928700001,-43463.975863061525
99,99,63.974509727999916,-43426.495927720716
100,100,65.32783684499992,-43868.16355928803
101,101,65.98270759899995,-43363.412566094245
102,102,66.60249470399995,-43393.409319899874
103,103,67.24167719399999,-43819.1872462855
104,104,67.86444011899992,-43733.49328789829
105,105,68.58029443000001,-43301.34107338393
106,106,69.18844096599996,-43452.47234533191
107,107,69.79391934999998,-43962.87569615222
108,108,70.4444053659999,-43979.34040247712
109,109,71.15137572299992,-43476.27994195603
110,110,71.76424316199997,-43534.70783193599
111,111,72.38432638599991,-43601.79853261919
112,112,73.00929032699996,-43332.32962758363
113,113,73.74583718599996,-43493.330139895836
114,114,74.35593843899993,-44014.61726134231
115,115,75.0286719229999,-43749.19174008714
116,116,75.69624386099994,-43563.78759923624
117,117,76.34705785099999,-43687.35001529697
118,118,77.042327513,-43580.25252737115
119,119,77.65728847999999,-43533.60207480446
120,120,78.378071949,-43579.75526154204
121,121,78.99110062399996,-43422.03397623274
122,122,79.60079265999993,-43479.183012150075
123,123,80.21659499000002,-43524.22445049607
124,124,80.8319779869999,-43920.76469384149
125,125,81.72615087299992,-43775.04797310063
126,126,82.40214022699999,-43299.494193613384
127,127,83.10240948399995,-43587.529011701205
128,128,83.76638948799996,-43544.31447232963
129,129,84.386293266,-44246.92491917057
130,130,85.00934980299999,-43707.153951864704
131,131,85.63075749399991,-43395.58785428339
132,132,86.34227104399993,-44004.16645071315
133,133,86.94957204599993,-43653.02909409384
134,134,87.55962101499992,-43448.148243680116
135,135,88.18635359999992,-43429.088448867886
136,136,88.87284660099994,-43512.30106138227
137,137,89.4830088999999,-43528.08247141183
138,138,90.09855883200001,-43448.61610127422
139,139,90.71223866399994,-43276.65081774007
140,140,91.41297716499993,-43676.85150681761
141,141,92.01898948300001,-43482.18209903021
142,142,92.62307162199996,-43445.29050028226
143,143,93.315191705,-43402.77702829589
144,144,93.921517504,-43251.02353668859
145,145,94.52609380799997,-43191.24890239973
146,146,95.24290476199997,-43395.30808169596
147,147,95.92185562199994,-43234.10220381147
148,148,96.73180926299992,-43263.95459053569
149,149,97.42329206899996,-43489.45924024009
150,150,98.09395365499996,-43121.85515855364
151,151,98.74620424,-43379.594741721296
152,152,99.41259845499997,-43246.364386688394
153,153,100.1037308459999,-43185.241060353
154,154,100.78550726099999,-42958.463126030954
155,155,101.45461104499991,-43815.50646650189
156,156,102.13504331099999,-42939.363869147644
157,157,102.73460236599995,-42946.00299730952
158,158,103.55193829899991,-43137.64944673252
159,159,104.22704824299994,-42973.67979395333
160,160,104.897152916,-42913.58326593496
161,161,106.04475789799996,-42971.107403627735
162,162,106.82246246499999,-43450.757848285895
163,163,107.45313768499996,-43037.57707201821
164,164,108.07208973299991,-43136.51124856877
165,165,108.70818231800001,-43124.17364765313
166,166,109.42864606099995,-43470.29440076032
167,167,110.14282987999998,-42563.32689428675
168,168,110.920077147,-43110.819104656046
169,169,111.536475828,-42824.08433335311
170,170,112.247609804,-43163.94875524906
171,171,112.87205157499993,-42931.59884394069
172,172,113.606196872,-43148.51584769502
173,173,114.21991002399999,-42808.49652750676
174,174,114.83315917899995,-43340.49526521291
175,175,115.46151781899994,-43242.228265678365
176,176,116.56657584099996,-42805.70541197491
177,177,117.25463225699995,-42708.74333545369
178,178,117.8669480219999,-42743.35309025719
179,179,118.551816383,-42662.290493212386
180,180,119.16272640399995,-42878.61528651863
181,181,119.89458444099989,-42994.78869823358
182,182,120.70519613399996,-42745.63195313781
183,183,121.37843859799997,-42380.448846187894
184,184,121.98476126599999,-42593.7437369339
185,185,122.67996349999996,-42522.79214309588
186,186,123.29406250499993,-42512.37439774961
187,187,123.906904217,-42393.130689947575
188,188,124.59209856299998,-42504.429451256605
189,189,125.219365507,-42453.77894818613
190,190,125.95359669799998,-42749.13146158434
191,191,126.57689138399996,-42646.39700269732
192,192,127.193441153,-42329.25677854622
193,193,127.85813335199991,-42657.734983877366
194,194,128.50401759599998,-42547.23466088958
195,195,129.2512620649999,-42403.518900424846
196,196,129.93981498299993,-42388.762542535915
197,197,130.64122706199996,-42250.73311890567
198,198,131.32407481099992,-42449.70074826835
199,199,132.05207374799997,-42351.47572926743
200,200,132.749182392,-42438.96840122779
