index,iter,time,objective
0,0,1.1165106999999843,-47161.370458276084
1,1,1.727767320000101,-46949.59292817905
2,2,2.3993106870001646,-46799.42993363899
3,3,3.1435852590000724,-46604.890870525094
4,4,3.8212042559999975,-46164.08062548519
5,5,4.473866326000076,-45955.575855954376
6,6,5.125516896000132,-45831.95581179082
7,7,5.928310182000045,-45425.549924461324
8,8,6.907466929000104,-45117.95600281248
9,9,7.66362801500014,-44859.392435149784
10,10,8.483130621000193,-44545.59584372503
11,11,9.407933152000187,-44466.39699188233
12,12,10.414783565000166,-44228.65297211969
13,13,11.491237450000131,-44439.61267654587
14,14,12.55265576600004,-44223.70019501477
15,15,13.648285697000102,-44177.01081750216
16,16,14.870338064000011,-43853.237127126704
17,17,16.049140257999998,-43795.355598592294
18,18,17.096419969000156,-43967.842765843874
19,19,18.283499611000064,-44096.014700665546
20,20,19.35704887400009,-44092.64567482352
21,21,20.403071893000043,-44171.52422284307
22,22,21.69957950900006,-44040.68211483456
23,23,22.858973962000107,-43848.694668265554
24,24,23.975139307999985,-44558.765327461064
25,25,25.086467696000124,-44914.088703197
26,26,26.243624831000112,-44653.86518076221
27,27,27.527258464000187,-44625.521998108015
28,28,28.585262980000117,-44378.71146669325
29,29,29.669765556000172,-44719.58506607922
30,30,30.667183169000083,-45996.14315048139
31,31,31.91017795300018,-45051.017488973666
32,32,33.00879554600012,-45102.24752908261
33,33,34.064145616000054,-45109.732917299116
34,34,35.21677411100012,-46077.69065218099
35,35,36.242787902000124,-45261.651111093895
36,36,37.405597559000135,-46522.153628557724
37,37,38.43697209400008,-45277.51997190591
38,38,39.44440445700008,-45504.95305593069
39,39,40.69258614800009,-45536.01688063362
40,40,41.627235238000054,-45656.89365686057
41,41,42.639335002999985,-45210.47269601273
42,42,43.66133073600009,-46504.340556097304
43,43,44.657564763,-46197.69652584331
44,44,45.812630495000164,-46328.79628612906
45,45,47.111655632000186,-45996.13141974989
46,46,48.12351564900018,-46688.76607127422
47,47,49.19265838699997,-47010.98234069547
48,48,50.320211643000135,-47152.89578686136
49,49,51.423872778000074,-46726.99668508712
50,50,52.64494040199998,-46765.34702589989
51,51,53.705524106000084,-47100.62743414711
52,52,54.93816561000003,-45953.81375888752
53,53,56.297745218000145,-46683.55857287354
54,54,57.44879696000018,-47429.49973482733
55,55,58.46543300299999,-46455.287050379986
56,56,59.653985423000066,-49453.7807060955
57,57,60.87040463400003,-47184.79344342383
58,58,61.857893393000126,-51203.87750364474
59,59,62.965751800999975,-47261.01943885575
60,60,64.00157585200016,-49141.88415125258
61,61,65.21819750200002,-49179.26394576207
62,62,66.34100674600015,-48406.412921527575
63,63,67.53481560800014,-47311.84481014593
64,64,68.60686611100007,-47070.25014549985
65,65,69.689369281,-47593.21026021317
66,66,70.655218627,-48046.02309311241
67,67,71.78353136799997,-46721.85026438846
68,68,72.83518327300018,-46198.43425097327
69,69,73.99611069400004,-47262.24357666668
70,70,75.068660775,-47333.253067789854
71,71,76.11775901200016,-48317.12956459322
72,72,77.12999338700017,-46483.027392082
73,73,78.40858018200007,-47473.93281619513
74,74,79.53668396200007,-48464.99234830403
75,75,80.67017376799998,-49739.11734816584
76,76,81.93425145700016,-46502.277786123734
77,77,83.35384240800002,-46995.41822916832
78,78,84.55182276999997,-45851.63004596869
79,79,85.78259538900014,-47404.281108636096
80,80,86.93903397900006,-47063.416886390085
81,81,88.15379344200016,-46793.62004201586
82,82,89.24076658400008,-47554.51614413205
83,83,90.33840193100018,-49117.57622104831
84,84,91.32917744600005,-47354.966121373276
85,85,92.56675269800006,-48088.574770231586
86,86,93.54969438200001,-48878.664560155994
87,87,94.71795397400018,-47546.43493836951
88,88,95.92235740200012,-47382.18284914992
89,89,96.93253080800012,-47176.4128142817
90,90,98.29636241300008,-47033.206402956326
91,91,99.58618066500011,-46077.980282748555
92,92,100.75415209400002,-48968.931245084896
