index,iter,time,objective
0,0,1.3611357289999724,-45340.79166707472
1,1,2.2708845180000643,-44642.23644917775
2,2,3.27105938500003,-44521.186490131484
3,3,4.221592144000111,-44237.26490715394
4,4,5.253683046000078,-44509.89565218513
5,5,6.147406279999996,-44376.18926126172
6,6,7.14813459199993,-44222.259474098435
7,7,8.203092125999975,-43903.96801076492
8,8,9.260540852000005,-44340.142448246166
9,9,10.188500066000037,-44005.53285460854
10,10,11.35548389500007,-44537.736759785956
11,11,12.467258823999902,-44033.12035414239
12,12,13.35060303099989,-44347.86203528978
13,13,14.441606010999996,-44805.043170149445
14,14,15.463462639000033,-44526.34515701958
15,15,16.486568987000034,-44185.13452220268
16,16,17.571853719000007,-44219.92538066406
17,17,18.59678244500002,-44688.69860233744
18,18,19.622995201000013,-44483.09944103781
19,19,20.747836570000043,-45473.547480243695
20,20,21.78962015300011,-45755.89979203697
21,21,22.75253547200002,-45465.15166269439
22,22,23.914721585999942,-45128.317144707384
23,23,24.831615607999964,-45427.95647808209
24,24,25.95600198499998,-45609.84101908123
25,25,27.046990845999915,-47481.54699020887
26,26,27.95934617600008,-45476.53941902619
27,27,28.922723006000044,-45656.69437027403
28,28,30.066133523999945,-45884.60232713211
29,29,31.01060108299996,-46256.90387435466
30,30,32.051176134000066,-46239.60987720896
31,31,33.14555142299994,-45227.6570377911
32,32,34.103016434000104,-46094.78683951545
33,33,35.18822598200012,-46134.57105445705
34,34,36.30179656599998,-47263.11086024282
35,35,37.32067559099989,-46852.84200494947
36,36,38.434865913999964,-47854.55969616237
37,37,39.44010462000011,-47829.36088782777
38,38,40.44531693700002,-46022.39068467375
39,39,41.54523019800009,-46746.38426889388
40,40,42.63231469499995,-48287.56316034583
41,41,43.5998461519999,-45982.04384030439
42,42,44.64812487599999,-47518.54480331983
43,43,45.613135308000025,-46409.490118889706
44,44,46.872519778999965,-47794.263005007575
45,45,47.874578804000045,-47574.43697143403
46,46,48.77683556100004,-48066.60409152337
47,47,49.79407875100011,-46457.02891015343
48,48,50.906490900000094,-47067.08739059351
49,49,52.05660335700004,-46996.87881642777
50,50,53.02969271000009,-48834.42912292774
51,51,54.05223659899994,-51301.92167079465
52,52,55.17451505300007,-49131.697957002005
53,53,56.33284924999997,-48240.394633746626
54,54,57.39237425799994,-47601.37423768003
55,55,58.470938349999955,-47044.17017951938
56,56,59.55581751199998,-48840.90385198005
57,57,60.484943418999904,-48414.18189564336
58,58,61.475901446999984,-49020.342387178694
59,59,62.550445962999945,-47148.82364317564
60,60,63.74393624099996,-47238.14804912463
61,61,64.70259952199994,-49995.11272152223
