index,iter,time,objective
0,0,1.353808788999915,-45339.62295900829
1,1,2.0568608359999487,-45115.97208927911
2,2,2.937748612999916,-44892.20963066111
3,3,3.7657641259999948,-44695.15779880124
4,4,4.582917672999901,-44706.79217993407
5,5,5.6175435109999965,-44276.06391509231
6,6,6.634334116999991,-44713.34921794129
7,7,7.675239983999869,-44361.57855524622
8,8,8.673007203999907,-44209.61301368934
9,9,9.791638155999827,-44576.73930148049
10,10,10.732019972999813,-44176.03808610238
11,11,11.636286786000012,-43794.9003097363
12,12,12.664552838000004,-44230.364916632374
13,13,13.983208570000016,-43887.21751491803
14,14,15.02621158699994,-44266.35511790115
15,15,16.185914600000018,-44098.93380194793
16,16,17.24078726299992,-44177.188465009625
17,17,18.269826376999962,-44700.83726981393
18,18,19.44494702599989,-45418.78480495021
19,19,20.433367970999797,-45109.46933982021
20,20,21.44385654499987,-44507.529275262365
21,21,22.544834780999924,-44460.53120064287
22,22,23.486833171000004,-45564.88489206765
23,23,24.57403948999988,-44859.927364245195
24,24,25.566442702999804,-45202.245552896726
25,25,26.47499513399997,-45929.67301752765
26,26,27.540693488999967,-45730.6260209698
27,27,28.5650138559998,-45107.17067841372
28,28,29.698619079999858,-46700.968163881545
29,29,30.592238793999886,-46199.74010745504
30,30,31.52598840099992,-46981.40864702988
31,31,32.429425910999996,-45905.84745225813
32,32,33.514071532999864,-45669.511293968106
33,33,34.40126163999992,-46533.522057425915
34,34,35.55975608399999,-46019.55969966627
35,35,36.5939966849999,-47186.41724712529
36,36,37.534560207000006,-46450.69602258803
37,37,38.74272676400002,-46897.87215544524
38,38,39.85513260499993,-48487.916693025756
39,39,40.85440377999982,-45987.81712893835
40,40,41.91460143299983,-46632.24981582086
41,41,42.891612802999795,-48258.812351061766
42,42,43.97807464,-48732.61635135431
43,43,44.871006144999996,-46463.51792233592
44,44,46.088609400999964,-47319.56474753499
45,45,47.09077379799984,-47897.408407656985
46,46,48.30128819200001,-48926.923742271436
47,47,49.42390026899986,-47990.56204173338
48,48,50.5619444279999,-47666.70745012081
49,49,51.60142635299987,-46429.65127154127
50,50,52.7537942499998,-49632.33423531707
51,51,53.72902934999997,-47741.04980647032
52,52,55.010209354999944,-48713.24441508697
53,53,56.02463518400001,-48269.85290288815
54,54,57.15370489599998,-49820.13399731467
55,55,58.19630943599995,-47743.7158031275
56,56,59.37283993999986,-47906.08157226986
57,57,60.476873193999985,-47184.777632282196
58,58,61.593038124999964,-46973.21118232569
59,59,62.595932154999815,-47925.22021569399
60,60,63.52036230799998,-48247.68745784444
61,61,64.57192114899982,-49289.92305885435
62,62,65.7019072759999,-47614.3124190927
63,63,66.74098326699995,-48104.6429692643
64,64,67.73354670599987,-49206.645766559355
65,65,68.7398465179999,-48698.812740725734
66,66,69.94433911699988,-47210.57063401192
67,67,70.87737752899993,-49190.88391020883
68,68,71.9005011179999,-47773.71454960507
69,69,72.87496163299983,-47286.42234168914
70,70,74.01478736399999,-50058.73905455039
71,71,75.06178628799995,-50581.83253387095
72,72,76.02637267900002,-46490.615758822285
73,73,76.96894656899991,-48595.84636649547
74,74,77.97210296299984,-49262.18414332114
75,75,79.10520196500002,-49988.6338054774
76,76,80.06715436699986,-48513.705786832244
77,77,81.23464800499985,-47975.257058680094
78,78,82.21038137399988,-48800.707147890425
79,79,83.18049580399995,-48485.78082241438
80,80,84.27351487999991,-50563.70576501794
81,81,85.50309343799995,-48294.398469054424
82,82,86.53033214299987,-48029.61271406965
83,83,87.47038798499992,-47973.262057636384
84,84,88.55764366499986,-49078.682087815745
85,85,89.63748818899994,-48585.454653647146
86,86,90.6022389479999,-47846.46314541361
87,87,91.54659171499988,-47876.73934099972
88,88,92.5016819389998,-47695.13643234866
89,89,93.360788497,-51759.95246094211
90,90,94.41694516499993,-47173.424090869834
91,91,95.206729025,-49272.85072760814
92,92,96.27172517699981,-49427.60523834945
93,93,97.29161096700001,-50216.61347685152
94,94,98.225377048,-48193.26663990794
95,95,99.17224815699994,-47109.60628010347
96,96,100.17732949399995,-47155.667357939026
97,97,101.30857015299983,-48512.25026327347
98,98,102.21239528499986,-50495.82926019619
99,99,103.26039503399981,-48619.6712884362
100,100,104.37833469299996,-48909.807366501795
101,101,105.4435804669999,-48439.90534574641
102,102,106.40547649899986,-49775.13215607323
103,103,107.35938914299989,-47187.104161774274
104,104,108.43028560099984,-48044.42114406931
105,105,109.2758246439998,-47979.65397117557
106,106,110.14951165799982,-48539.8121213712
107,107,111.18559921699995,-47068.0500280042
108,108,112.21581991999992,-47947.52161317392
109,109,113.2207913569999,-47157.19837470594
110,110,114.21723569599982,-47746.0233264157
111,111,115.3283327159998,-50293.909928311674
112,112,116.55120393099985,-47185.737067314454
113,113,117.50979647299997,-47807.10594561673
114,114,118.64085539399996,-46851.432938668695
115,115,119.67857256599981,-49611.74824442331
116,116,120.74410351299983,-47904.55505659829
117,117,121.67574783,-49795.56658447055
118,118,122.94306907700002,-47668.71860587971
119,119,123.88267247999995,-46822.238880819044
