index,iter,time,objective
0,0,2.105416046000086,-47280.86993348084
1,1,2.7913200250000227,-46824.190208716245
2,2,3.5029478520001285,-46961.302461524734
3,3,4.121002903999994,-46730.7957293812
4,4,4.788564616000047,-46338.89080332839
5,5,5.368305523999966,-46190.22385733921
6,6,5.958886482000118,-46150.348984796896
7,7,6.741776078999973,-45993.485540545196
8,8,7.499183102000039,-45670.14685505303
9,9,8.206960695000133,-45673.453917028884
10,10,8.873764630000107,-45682.82183895909
11,11,9.587350394000067,-45495.99002222252
12,12,10.80836051300005,-45457.25273862119
13,13,11.610226798000047,-45343.528046871594
14,14,12.623640546000097,-45434.93888913814
15,15,13.470711607000093,-45209.44655525385
16,16,14.271404746999965,-45015.20152987359
17,17,14.974718384000006,-45122.6085159305
18,18,15.692064199000132,-45039.36821848551
19,19,16.556032522999914,-44908.3826487979
20,20,17.378378418999958,-44750.818986121354
21,21,18.04728300300008,-44802.819788895315
22,22,18.749426125,-44729.19415010083
23,23,19.378388321999925,-44788.29404567017
24,24,20.200463559000056,-44707.618620099805
25,25,20.970045794999926,-44794.11333043764
26,26,21.61302860800014,-44619.23262836659
27,27,22.24010968900006,-44633.15113413199
28,28,22.85930433299998,-44545.31047531486
29,29,23.56493128499994,-44488.42869266029
30,30,24.32592436600011,-44623.199481158925
31,31,24.958975460000104,-44666.44859455952
32,32,25.58773702499992,-44554.534785839845
33,33,26.217680263000076,-44492.64837193135
34,34,26.967175946000033,-44540.13045246299
35,35,27.969661099000135,-44417.97611058442
36,36,28.59401640400011,-44466.69588180043
37,37,29.23169648699998,-44442.03377522589
38,38,30.203826266000046,-44461.00611025937
39,39,30.83326631200011,-44451.038041978085
40,40,31.459851082999958,-44373.50094016816
41,41,32.08659927599994,-44375.25176646816
42,42,32.919552862999964,-44300.23216908404
43,43,33.58015838199994,-44444.423671284734
44,44,34.220543206,-44280.62674560056
45,45,34.851076392000074,-44300.81762606024
46,46,35.56963141599996,-44320.25002104191
47,47,36.19526846599998,-44275.939712944906
48,48,36.809485176000045,-44246.56362303256
49,49,37.50990855300007,-44272.61371748686
50,50,38.126587193000134,-44205.569814962146
51,51,39.465810688999944,-44201.51914325157
52,52,40.155598413000114,-44179.44428256817
53,53,40.78241392099997,-44161.54621009334
54,54,41.415871653000124,-44136.774103316966
55,55,42.13000326899998,-44196.491126051886
56,56,42.746533697000004,-44096.155427163256
57,57,43.36562777199992,-44167.1395262378
58,58,43.982880696000066,-44057.431619580035
59,59,44.68153606600012,-44177.83668464129
60,60,45.3155045690001,-44105.7063931903
61,61,45.93435085500008,-43987.94551731874
62,62,46.66897603700007,-44138.20380803003
63,63,47.29094953100011,-44080.01912346348
64,64,47.90665287100011,-44016.25151060573
65,65,48.568362275999974,-44080.42955318353
66,66,49.31428435899993,-43972.41403466991
67,67,49.99462799499999,-44039.73801043859
68,68,50.630536648000124,-44088.36477599643
69,69,51.36346362900012,-44030.25994760254
70,70,51.97746063699992,-43987.9417262021
71,71,52.595428834999915,-44082.28211851975
72,72,53.21729251300008,-44029.55856954735
73,73,53.94412496699998,-43917.481618488775
74,74,54.58447147900006,-44016.48014849693
75,75,55.270171690999994,-43965.984363801326
76,76,55.99334692499996,-43958.17735212333
77,77,56.87645580899995,-43996.547117660426
78,78,57.577501875000074,-43883.232659329784
79,79,58.30349631600012,-43985.86553972352
80,80,59.13276434700005,-43903.21955567086
81,81,60.0490103790001,-43949.87284517488
82,82,60.88883630799991,-43895.377232813626
83,83,61.89530694600008,-43881.67652554906
84,84,62.73939407499996,-43878.97421529147
85,85,63.36433519500005,-43790.03781514024
86,86,64.02940717400006,-43823.83744631701
87,87,64.70013418100005,-43894.36377695596
88,88,65.37588834000006,-43808.68091038306
89,89,66.01313660000008,-43757.63947559445
90,90,66.63312390600005,-43808.162015137146
91,91,67.25310041099996,-43857.92396806112
92,92,67.98189636299992,-43857.330770937886
93,93,68.59636614400009,-43725.77061798606
94,94,69.2100094600001,-43738.67047065964
95,95,69.8362327360001,-43701.1292995719
96,96,70.53953545799992,-43768.39535956056
97,97,71.18816968300007,-43755.797624112376
98,98,71.80326461199996,-43722.15399513903
99,99,72.41455088600004,-43786.648807151585
100,100,73.18266335100006,-43804.32015668303
101,101,74.05125339700002,-43789.91838453351
102,102,74.709914078,-43638.68863258446
103,103,75.32077298699994,-43702.7825839065
104,104,76.25816526499996,-43651.844186789276
105,105,76.88718866900005,-43669.947447559294
106,106,77.51102312000003,-43737.036646809356
107,107,78.13716695900006,-43745.93693552753
108,108,78.8818742790001,-43785.49804962069
109,109,79.49486801899992,-43648.17483696374
110,110,80.12848435700009,-43643.8764772981
111,111,80.750769875,-43601.7343399973
112,112,81.4993549850001,-43689.46463961955
113,113,82.13171770199993,-43662.19015392567
114,114,82.76214336599992,-43682.19898150682
115,115,83.38560472900001,-43686.1168092143
116,116,84.1025722670001,-43567.28199443816
117,117,84.73254177200002,-43675.46073460516
118,118,85.35214718400012,-43690.78281711806
119,119,86.04497328400006,-43624.664830448746
120,120,86.70287432800001,-43581.79296535446
121,121,87.381559687,-43698.89730969644
122,122,88.59566005300009,-43626.21220461103
123,123,89.82141729100002,-43588.63115505334
124,124,91.24630835100007,-43667.62031294879
125,125,92.45388269899995,-43459.59921266644
126,126,93.67715591700002,-43502.817799860844
127,127,94.28868960499996,-43526.895825889835
128,128,94.99595978599996,-43589.919354763995
129,129,95.6058790190001,-43553.8347570774
130,130,96.360596074,-43533.7756950492
131,131,97.16551627300005,-43490.95919345877
132,132,97.77023298400012,-43542.72867767985
133,133,98.37909600299993,-43505.67768808694
134,134,99.09048921300005,-43506.908621310045
135,135,99.6894568390001,-43521.8033507179
136,136,100.3927966489999,-43486.68936635122
137,137,101.19504172999994,-43392.85906231472
138,138,101.86521678000014,-43465.67617754062
139,139,102.67455428100004,-43387.60193377375
140,140,103.3934930710001,-43367.690903628005
141,141,104.20166057600011,-43460.72728926873
142,142,104.961654874,-43438.82343063408
143,143,105.66677861599997,-43534.062272607116
144,144,106.41909771999997,-43465.421336607
145,145,107.05887834300007,-43374.26659002486
146,146,107.78562616800005,-43393.02642800176
147,147,108.39752019999992,-43398.96001195774
148,148,109.04572370600002,-43316.51231784665
149,149,109.66777159000002,-43258.06679048153
150,150,110.28770215500006,-43370.06639153603
151,151,110.99168406999996,-43306.68257260784
152,152,112.08609838300012,-43327.15158117727
153,153,112.81644772700011,-43284.77163223713
154,154,113.81947373700002,-43293.35553060327
155,155,114.42373603300005,-43269.52474650757
156,156,115.1445491510001,-43225.22064011207
157,157,115.77430349000008,-43319.92553835642
158,158,116.3935572530001,-43249.84775884081
159,159,117.0042941660001,-43367.39901167228
160,160,117.66003893200005,-43274.44961484973
161,161,118.37718105400005,-43289.021553501865
162,162,118.99313584200013,-43269.928519499364
163,163,119.61030674399994,-43240.03077690018
164,164,120.24252261899994,-43308.40065893694
165,165,121.32707678,-43243.50878332896
166,166,121.96358887799992,-43287.70861978743
167,167,122.59125573999994,-43200.08001164439
168,168,123.21883509399999,-43271.34546828118
169,169,123.85544858400011,-43137.78309758798
170,170,124.70897508,-43171.84679808157
