index,iter,time,objective
0,0,1.2012994659999385,-45736.65844954766
1,1,1.810486348999897,-45082.87302924708
2,2,2.4578846829999237,-44758.48969182465
3,3,3.0487133829998783,-44700.42445394079
4,4,3.6977267409998458,-44570.22712726156
5,5,4.449164969000034,-44791.51866042631
6,6,5.360752388000023,-44352.266789700254
7,7,6.308058013999835,-44258.541729494595
8,8,7.2904938139999285,-45161.98516568987
9,9,8.085146277999971,-47920.1531375075
10,10,9.022417687000008,-44992.74689861326
11,11,9.9412357989999,-46063.91886066409
12,12,11.058042047000024,-48158.633863371346
13,13,12.131314922999824,-47892.38492896935
14,14,13.018997426999965,-52560.25360387357
15,15,14.021099001999945,-53451.78312707588
16,16,15.181338829000016,-49360.04429511494
17,17,16.19733014700003,-60941.65742955249
18,18,17.22585737699992,-59907.443873985816
19,19,18.37706774999993,-57269.15101067552
20,20,19.478876651,-56735.22972339696
21,21,20.461744316000026,-57363.37518020699
22,22,21.41781774199987,-55281.92633215761
23,23,22.362994741,-57075.22216490051
24,24,23.493678779999957,-60401.907417127164
25,25,24.584668462999865,-61286.37814700608
26,26,25.596387958999955,-88179.02157898374
27,27,26.711181471999968,-61609.921037171895
28,28,27.71025448999996,-57746.030977747825
29,29,28.691500316999853,-85432.50633805983
30,30,29.70604880999983,-64565.870576744215
31,31,30.80823921000003,-72051.78925218448
