index,iter,time,objective
0,0,1.1852679530000314,-45194.61545253229
1,1,1.8417797060001175,-44683.31026299544
2,2,2.5023600990001578,-44976.11083115157
3,3,3.1823335130000485,-44997.93694062643
4,4,3.8882769820000975,-44544.23880557768
5,5,4.618254044000059,-46737.11122736014
6,6,5.255172708000057,-44571.507960302035
7,7,6.033335473000072,-44820.261818968196
8,8,6.939187300000107,-47214.633964772285
9,9,7.827919026999967,-45008.23154200239
10,10,8.744613332000096,-47217.8395771734
11,11,9.794214630000061,-47839.31624472959
12,12,10.911454227000009,-49200.34048515891
13,13,11.817144732000074,-49418.15297189759
