index,iter,time,objective
0,0,1.4711994180001784,-44323.29536023594
1,1,2.4208318110001272,-44756.18903494427
2,2,3.4196112140000334,-45327.38088735691
3,3,4.358277680000057,-48555.527216550916
4,4,5.572621926000109,-44741.14454776169
5,5,6.7437811050000604,-47867.22051975895
6,6,7.839197679999983,-48410.85459786342
7,7,9.082501685000025,-49047.07825908965
8,8,10.161031757000135,-57707.285897391135
9,9,11.440280676000054,-56742.210552168435
10,10,12.485529918000102,-49468.24368369841
11,11,13.523685428000055,-57367.84503468051
12,12,14.86957064400008,-57164.844195744925
13,13,16.061054521000013,-56445.631839082635
14,14,17.28491141399997,-55181.43146709883
15,15,18.807496826000047,-58432.65240771307
16,16,19.988608814000152,-59725.80275935469
17,17,21.094404940000036,-79634.59056354397
18,18,22.268340533999957,-62248.564811272234
19,19,23.311001313999995,-58467.05998565548
20,20,24.477498615000165,-81268.51428829676
21,21,25.743199398000026,-69534.09593373084
