index,iter,time,objective
0,0,1.1322132989999372,-46580.47357563358
1,1,1.7978105089999736,-45608.40188522299
2,2,2.561575684999814,-45400.87530963137
3,3,3.211252521999879,-45005.9691082083
4,4,3.9674315149998294,-44732.35702228137
5,5,4.585954564999789,-44740.821526801956
6,6,5.198433971999911,-44717.982767950634
7,7,5.907662528999849,-44509.29227115272
8,8,6.637312079999829,-45690.28412558844
9,9,7.442499621999915,-44481.04592033697
10,10,8.314098378999857,-44976.389031680854
11,11,9.042755521999904,-47691.169297947315
12,12,9.983823851999826,-45779.72289464344
13,13,11.062353198999771,-47009.49814458718
14,14,12.060106805999997,-49800.88110938361
15,15,13.100435083999997,-46306.42271797542
16,16,14.205842233999865,-49545.028245362635
17,17,15.155272431999911,-56227.68317021904
18,18,16.078136690999848,-53444.32125382288
19,19,17.267149787999923,-65499.86791262688
20,20,18.28757467799983,-63152.25883593082
21,21,19.274302062999922,-58596.3369219379
22,22,20.3464713969999,-55016.05235903924
23,23,21.361972516999813,-59120.35334817793
24,24,22.320230986999814,-55181.60493773108
25,25,23.32883800999983,-57093.88258765887
26,26,24.339814981999808,-61559.808542005034
27,27,25.279135891999818,-61922.977146975594
28,28,26.265267922999804,-78700.34155963016
29,29,27.284737664999906,-64519.42687064736
30,30,28.51308828499983,-57832.42500520914
31,31,29.60933057299978,-78476.69138395868
32,32,30.518031589999794,-73675.68954948531
33,33,31.55415578599996,-76152.32730501387
